underlying_price,strike,maturity,volatility,option_type,market_price,bid,ask,volume,open_interest,expiration,moneyness,bs_price,risk_free_rate
272.14,225.0,0.001,2.824221689453125,call,47.1,45.35,48.85,22.0,26,2026-02-25,0.8267803336517969,47.282524085502075,0.05
272.14,257.5,0.001,0.9423833886718749,call,14.575,13.65,15.5,501.0,507,2026-02-25,0.9462041596237232,14.75024520064352,0.05
272.14,260.0,0.001,0.5507857421875001,call,12.325,11.9,12.75,292.0,796,2026-02-25,0.9553906077754097,12.159302033485517,0.05
272.14,262.5,0.001,0.6455113574218749,call,9.850000000000001,9.4,10.3,257.0,1347,2026-02-25,0.9645770559270964,9.737239453445312,0.05
272.14,265.0,0.001,0.5122119091796875,call,7.5,7.25,7.75,1232.0,1895,2026-02-25,0.973763504078783,7.244203256746516,0.05
272.14,267.5,0.001,0.401373173828125,call,5.15,5.0,5.3,4048.0,2104,2026-02-25,0.9829499522304697,4.790769019767538,0.05
272.14,270.0,0.001,0.35352208984374994,call,3.175,3.1,3.25,14075.0,4917,2026-02-25,0.9921364003821563,2.5787012656011825,0.05
272.14,272.5,0.001,0.31909860595703116,call,1.62,1.6,1.64,35849.0,3092,2026-02-25,1.001322848533843,0.9317402551421736,0.05
272.14,275.0,0.001,0.30664755859375,call,0.665,0.65,0.68,75734.0,5078,2026-02-25,1.0105092966855296,0.19197474384728963,0.05
272.14,277.5,0.001,0.317389638671875,call,0.255,0.24,0.27,34542.0,1564,2026-02-25,1.0196957448372161,0.02758422749568723,0.05
272.14,280.0,0.001,0.33789724609375,call,0.10500000000000001,0.1,0.11,43917.0,3830,2026-02-25,1.028882192988903,0.0035610558149243854,0.05
272.14,257.5,0.001,0.5117236328125,put,0.05,0.04,0.06,2155.0,1980,2026-02-25,0.9462041596237232,0.00034303597191825963,0.05
272.14,260.0,0.001,0.47852083984375,put,0.08499999999999999,0.08,0.09,4606.0,3105,2026-02-25,0.9553906077754097,0.0014377388437042393,0.05
272.14,262.5,0.001,0.437505625,put,0.14,0.13,0.15,15819.0,1795,2026-02-25,0.9645770559270964,0.005235985367775697,0.05
272.14,265.0,0.001,0.39063109375,put,0.245,0.24,0.25,16643.0,3447,2026-02-25,0.973763504078783,0.01834094048822621,0.05
272.14,267.5,0.001,0.3549869189453124,put,0.47,0.46,0.48,25243.0,2632,2026-02-25,0.9829499522304697,0.08165203616005456,0.05
272.14,270.0,0.001,0.32813171874999997,put,0.965,0.95,0.98,47591.0,738,2026-02-25,0.9921364003821563,0.3590534980216802,0.05
272.14,272.5,0.001,0.3086006640625,put,1.905,1.87,1.94,35947.0,61,2026-02-25,1.001322848533843,1.2423463513144668,0.05
272.14,275.0,0.001,0.3086006640625,put,3.4749999999999996,3.4,3.55,13781.0,113,2026-02-25,1.0105092966855296,3.04202943565258,0.05
272.14,277.5,0.001,0.398443515625,put,5.575,5.25,5.9,1658.0,57,2026-02-25,1.0196957448372161,5.437842991360753,0.05
272.14,215.0,0.0027397260273972603,1.0078174609375,call,57.175,55.35,59.0,6.0,29,2026-02-27,0.7900345410450503,57.16946027328271,0.05
272.14,220.0,0.0027397260273972603,1.255863095703125,call,52.475,51.2,53.75,5.0,85,2026-02-27,0.8084074373484237,52.172723158551946,0.05
272.14,225.0,0.0027397260273972603,1.111332568359375,call,47.425,46.2,48.65,23.0,42,2026-02-27,0.8267803336517969,47.17285284680179,0.05
272.14,230.0,0.0027397260273972603,1.0312548437500002,call,42.474999999999994,41.3,43.65,15.0,304,2026-02-27,0.8451532299551702,42.17486840454336,0.05
272.14,240.0,0.0027397260273972603,0.6914093359375001,call,32.275,31.3,33.25,52.0,210,2026-02-27,0.8818990225619167,32.17346806438994,0.05
272.14,245.0,0.0027397260273972603,0.72070591796875,call,27.525,26.35,28.7,44.0,337,2026-02-27,0.90027191886529,27.181260151167464,0.05
272.14,247.5,0.0027397260273972603,0.6909210595703126,call,25.1,23.85,26.35,5.0,146,2026-02-27,0.9094583670169766,24.68645937271603,0.05
272.14,250.0,0.0027397260273972603,0.7402369726562499,call,22.15,21.3,23.0,25.0,922,2026-02-27,0.9186448151686633,22.224529298599037,0.05
272.14,252.5,0.0027397260273972603,0.5668988623046876,call,20.075,18.95,21.2,59.0,256,2026-02-27,0.9278312633203498,19.68882882334023,0.05
272.14,255.0,0.0027397260273972603,0.63086306640625,call,17.25,16.4,18.1,67.0,7381,2026-02-27,0.9370177114720365,17.254036558905455,0.05
272.14,257.5,0.0027397260273972603,0.5537154003906251,call,15.2,14.85,15.55,1991.0,1164,2026-02-27,0.9462041596237232,14.75732449662462,0.05
